	2562
Jorma Sajaniemi	72111
Katrin Hille	50936
Bernhard Tilg	80839
Kenneth R. Lindup	144119
Philipp Rohlfshagen	40849
Avraham Shtub	141509
Ken Perlin	152708
Marco Konijnenburg	95792
Saher Afshan Shaikh	105799
Laura Sacerdote	68026
Gunnar Teege	70379
Sabu Emmanuel	6183
Celeste Sagui	103033
Mitchell Flatebo	152860
Howard Yu	104672
Marilyn L. Getchell	93297
Haewook Park	134535
Mark Stitt	79368
Pohchin Lai	32808
Akira Nomoto	156061
Mark Lanthier	116710
Donald Fraser	1004
Ramesh Karri	75194
Dirk Volman	73613
Harold Hawkins	41718
John W. Zweck	38167
Sergio Escalera	35364
S. Shaiman	20392
Lo-Yao Yeh	138941
Khalifa H. Harib	27462
Ngoc Thanh Nguyen	28935
Dankyu Yoon	93972
In-Kyung Kim	160226
Inna Dubchak	77407
Peter Meinicke	68075
Siu Leung Chung	136159
Meir M. Lehman	148566
Siliang Wu	23208
George Dimakopoulos	126676
David Hsu	63653
Jaipal Singh	137436
Stephen A. Johnston	101133
Tung-Lin Tsai	130052
James L. Pearson	98379
Paul E. Wright	121321
Andrej Shevchenko	89190
Wenyu Chen	9386
Zulfikar Ramzan	146318
Asaph Aharoni	86179
John Lamping	152656
Christoffer Nellåker	95885
Yoshito Aota	62919
A. Kontogeorgos	48528
Byungjin Chun	159256
Md. Endadul Hoque	150314
Hugues Rivard	27470
Tatsuhiko Sato	86030
Mariza de Andrade	100749
Bruno Loff	124879
Matthew B. Cox	90068
Russell Haines	30993
Joe Tullio	152617
Paolo Carloni	104290
Franco du Preez	89909
Yulia Tsvetkov	70998
Shi-Hwei Liu	92775
Enrico Giora	44419
Yu-Li Xue	62193
J. Steve Davis	147997
Ian Herwono	126355
Alex Glinowiecki	158882
Xueying Zhang	145723
Ralf Zimmer	76464
Yuichi Motai	21657
Álvaro Hernández Trapote	72023
Nicholas Kushmerick	69789
Alfred Zollner	77854
Antinisca Di Marco	149748
John Cullum	84389
Dan Parvaz	58613
Kelly G. Stratton	87568
Xiangyu Luo	109793
Anne Lorette	33324
Dmitriy Gorenshteyn	106632
Virgil R. Marco	48267
Qingling Zhang	20897
Paolo Zuliani	146769
Fatemeh Miri Disfani	88679
Wonpil Yu	48146
Jussi Paananen	97798
Rebecca Strawn	104822
Rupal Patel	13442
Hans-Heinrich Naegeli	161910
Bing-Chang Chen	149366
Michael Fiss	75031
Christos Siaterlis	145088
Sahin Ozsoy	4436
Lars Kulik	28318
Soumya Ray	35639
Søren Bak	77583
Cheng-Te Lee	13219
Michael Chorzempa	137655
Nicholas A. Koncz	31564
Zihua Hu	77921
Taeyoung Hwang	97383
Rajeev Betne	31536
Ekaterina I. Lomakina	106494
Farokh H. Eskafi	3227
Yingting Luo	110216
Anders Kristensen	126687
Maged F. Barsoum	158488
Mai Ali Nur	26652
Alexander Lex	86985
Dong Su Seong	60251
Estibaliz Martinez	66893
Chun-Chi Liu	91821
Chenggang Li	7878
Dario Colazzo	120226
Torbjörn Lundh	51179
Thorsten Hansen	41758
M. Borsotti	58863
Xiang Song	155181
Dimitris S. Papailiopoulos	133451
Hai Huang	18528
Chun-Kai Tseng	134637
Ricardo de Oliveira Anido	150075
Ken Taylor	72363
Bo K. Wong	29854
Paolo Sonego	101716
Gert Cuypers	19490
Joost Schymkowitz	81055
Pratim Datta	112128
Pablo Inostroza	150279
Vesper Owei	149021
William H. Haskins	100343
Gerhard Fettweis	126316
Tinh Luong	103680
Gérard Villermain Lecolier	55753
Aruna Arujuna	115311
Gabriele Saucier	148122
A. Akay	112999
Richard H. R. Harper	70137
Yvonne Hitchcock	137391
Daisuke Ide	64004
Stevenn Volant	61638
Abraham Schultz	40971
J. S. Marron	91053
Juha Itkonen	152382
Jill M. Boyce	11970
Ali Ajdari Rad	93468
Tania Pencheva	95104
Dongwan Hong	91109
Luoshan Xu	56743
Susana Díaz	57118
Andrew J. May	71660
John F. Emery	100812
Errin W. Fulp	126096
Manuel Urueña	139653
Jürgen Herczeg	31156
Hanwen Zhang	128278
Xuanhui Yan	109972
Yan Ma	146901
Lijuan Yu	99784
Abdelmounaam Rezgui	137850
Chao Gong	137416
?nder Uluyol	162863
Yasuhiko Nakashima	155577
Mainak Guharoy	84430
Kai-Uwe Mätzel	140445
Jibin Sun	93777
Rick Adams	104358
Howard Fan	5935
Waleed Mohamed	25369
Dinggang Shen	6062
Yihua Liao	144103
Han Lee	59735
Andrew D. Fernandes	51499
Jin-Xuan Fang	57227
Bong-Jae Rhee	56937
Lodewijk Bergmans	146975
Pingang Su	67490
Hoon Lee	135993
Ruey-Song Huang	11727
Liang-Hwa Chen	45122
Ioanna Chouvarda	111942
Cheng Fan	84898
Deepak Gupta	135586
Tsuyoshi Kato	79096
Phillip M. S. Burt	18382
Syed Ali Hassan	134047
Xiaosong Tang	157446
Mario P. Vecchi	160446
Jaedeug Choi	35848
Flavio Fabbri	134137
D. J. Goodman	160543
P. H. Bauer	22673
Rajan L. Joshi	1528
Jeffrey T. Denniston	58037
Wun-Hwa Chen	51634
Robert Korfhage	152596
Y. T. Jade Morton	133115
Hallysson Oliveira	111419
Shahar Mendelson	17162
Bonnie Turman	127768
Futaba Okamoto	141644
Jing-Jang Hwang	30424
Alain Glavieux	160193
Yu-Li Liu	96692
Muh-Chyi Leu	12448
Josep Miquel Jornet	133981
Dick R. van Bergem	15386
Ming-Bo Zhao	50379
Majid Komeili	50304
Elizabeth A. Komives	105050
Hervé Delacroix	83930
Xuebin Sun	134744
Matthias Eckert	66566
Ravi Rajagopalon	92904
Anneli Heimbürger	152280
John E. Eriksson	40655
Dana Willner	106000
Mark D. Wilkinson	82357
Dao-Zhi Zeng	122508
Jens Lang	119648
Robert R. Roediger	163801
Marcus Liwicki	48922
Onur Osman	55014
Steve Robinson	101632
Yongjian Yu	3161
Chun-Chieh Yang	153843
Karen L. Courtney	75432
Erik L. J. Bohez	6700
Y. A. Medvedeva	89885
Chau Nguyen	59569
Raúl Héctor Gallard	110834
Antoine de Daruvar	75699
Kainam Wong	158349
Madhuchhanda Bhattacharjee	76406
Brian Kinane	135990
Albert M. Vossepoel	31557
Elmar Wings	8557
Masato Okada	41590
Shari Lawrence Pfleeger	143310
Ingil Sundsbo	2876
Andrew E. Torda	77470
H. J. Bockholt	112881
Jong Yeol Ryu	133951
Wentao Wu	49044
Mark D. Reid	35748
William O'Neill	96479
Pavel Chebotarev	122789
Omer Dushek	104070
Yves Dufournaud	37641
Jamel Meslamani	89107
S. Manocha	61053
Georgios C. Manikis	114037
Ching-Wen Huang	140930
Bruce Bush	82519
Heng-Ye Man	94959
Turgay ?elik	6442
Kuo-Hsiu Chen	42149
Chris Cheadle	92720
Guillaume Gravier	13539
Bonnie A. Nardi	70309
L. F. Kwok	26861
Kenneth McLeod	99056
Malcolm E. Rodgers	73721
Zujun Hou	1408
Yanzan Sun	134397
Alison McKay	7955
Xiaomin Zhu	110337
Cécile Capponi	76836
Renato Villán	143126
Douglas F. Parkhill	127177
Sachdev S. Sidhu	99188
Kuo-Her Lin	136143
Clark Glymour	35220
Celine Chicault	92592
Enrique Romero	44496
Tadasu Uchiyama	42750
Jacob Almagro-Garcia	86943
Nissanka B. Priyantha	146066
Juha Kostamovaara	156874
Canlin Li	24873
A. David McKinnon	126988
Rick Twee-Hee Ong	87842
Rachuri Sudarsan	8199
Matthew Swinarski	52333
Liehua Me	1951
Mukul S. Bansal	85126
Robert W. Brodersen	25697
G. Shankaranarayanan	51650
Miles P. Davenport	103341
Robert Friel	69037
Jean-Fran?ois Cordeau	119671
Jacek Jelonek	54298
Ernst M. Kussul	58717
Ramya Balachandran	115177
Gilles Brassard	40185
Hosame Abu-Amara	152925
Mali Senapathi	151049
Miroslav Karamanov	118700
William R. Franta	125511
F. Wu	85930
Sophia Tsoka	76297
Ossama Younis	142656
Jürgen Blume	27795
Ramiro Aguilar	67090
Leonard P. Wasieloski	83128
Lulu Wang	151152
Fei Ge	130126
Irena Roterman-Konieczna	55271
Steven I. Marcus	119040
Frank Critchley	44583
Yingxue Li	159093
Jim Warwicker	95809
Fei Gu	96377
Daeyoung Park	134433
Yuh-Shyan Chen	135203
Katharina Nöh	94803
Carsten Prodöhl	68149
Rafael Fierro	108515
Carol L. Walker	55872
Jacek Ilow	1465
Masafumi Hagiwara	8231
Charles Kervrann	1615
Shiyin Qin	12749
Carla Mattos	85730
Budhaditya Goswami	143615
Sal Barone	17875
Prasanta Kumar Nandi	18519
Miroslaw Kutylowski	116426
David Dobrikin	23474
Jean-François Leber	42142
Xiqing Ye	57760
Kenneth Lo	81523
Meric A. Ovacik	99697
P. Tarasak	132544
Rajan Ganesan	7220
Petety V. Balaji	78805
Tahir Nawaz	6446
You Xu	103028
Rui Pedro Lourenço	52504
Sandeep Chennakeshu	159836
L. Holm	85598
Jayalakshmi Srinivasan	150568
Stephen W. Tanner	95534
Giovanni Motta	5387
Yajie Wang	102374
Chang-Fuu Chen	46664
Peter O'Reilly	127131
Soon Jo Chung	107982
Cyril Nicaud	117450
Jorge Nakahara	146418
A. E. Karbowiak	135995
Aya Funakoshi	73745
Tsang-Hsiang Cheng	52485
Kevin W. Sowerby	130781
Daniele Inaudi	27627
Kaoru Arakawa	33
Eugene F. DeRose	79250
Sudhir S. Dixit	129957
Manisha Brahmachary	96427
T. Conkar	71199
Zhong-Quan Wu	48155
Laurens Bosman	64204
Satya P. Mallick	33829
Lars Otten	92320
Matthias Riebisch	27534
Peter Barri	125018
Ting Deng	110232
Alexander Kipp	27654
Zhong Yang	61377
Pin-Yee Chen	126382
Dominik Lindner	86380
Eric A. Fain	159100
Hongzan Bin	23931
Svetlana Bureeva	101417
Yan Jin	27360
Ivan Kopecek	54045
Cheng-Hsiun Tsai	130754
Ece Gelal	128532
Rebecca Hutchinson	39597
Leonid Tcherniavski	49375
Somnath Sengupta	59375
Jerzy Szymanski	120621
Bert Schouten	14043
Nicolas Léwy	71095
Stefan Guthe	162540
Shanmuganathan Raman	25240
Minh-Triet Tran	154011
Zvi Har'el	124955
Yoshiyasu Takefuji	27494
W. J. A. M. Douven	31340
David Nowak	120184
Siddharth Kaza	52345
Marcus Konrad	61781
Mohammad Tanvir Parvez	50662
S. Venkatesan	149411
Eduardo Sánchez	63885
Aaron J. Ferguson	144454
Dilek Küçük	27754
Lili Qiu	127315
Stefan Wiesberg	88121
Andreas Pitsillides	113776
Anne Benoit	117265
Christophoros Christophorou	128663
Donna Peuquet	28279
Jan A. M. Schreuder	123105
Ponraj Prabakaran	80878
Xiao Ming Zhou	60701
Isabelle Comyn-Wattiau	52137
Géraud Sénizergues	120388
André R. S. Amaral	123024
R. S. Anderssen	75687
Nicola Pirlo	38943
Hua Duan	53724
Jie Fu	66285
Changmoo Lee	145765
Juanjuan Zhong	65640
Eric T. McAdams	113420
Arif Mahmood	4996
Clark D. Thompson	116452
Laurent Chaloin	103805
José A. Troyano	61610
Roger N. Nagel	44919
Mark A. Hall	35687
Mark A. Minor	107182
Yaser Norouzi	20631
Ian R. Summers	24465
Zekeriya Erkin	143637
Kirsi Lauerma	114542
Malay Kumar Basu	76255
Hamid Zouaki	48373
Michal Lason	17937
Gabriel Cristóbal	1041
Kate Sanders	55120
Lorenzo Pellis	103306
Dana H. Brooks	1374
Ludo Weyten	18286
Qingjuan Gu	79725
Amelie Constant	135908
Lan Ding	6880
Nathan C. Perry	53433
Shaoquan Jiang	146216
Kaushik Ghosh	155399
Dongbo Zhang	65950
Xiaojuan Liao	139658
Thibault Langlois	65171
Luca Timmoneri	18469
Wael Hilal Bahaa-El-Din	125107
Alessandro Maccari	146644
Peyman TalebiFard	129479
Michael D. O'Dell	127695
Juan J. Nieto	57851
Meng-Tsong Shieh	136917
Shuichi Sakai	122127
Weiwen Zou	49929
C. Richard Johnson Jr.	160507
Pinyuen Chen	18984
Christine Prasad	55179
Sven Sahle	77977
Shiyun Yie	71059
Spyros L. Tombros	137943
Van-Nam Huynh	55591
Daniel Lobo	51326
Stefan Leuthold	72204
Sungkuen Lee	140878
Lan-Rong Dung	149769
James Emil Flege	14014
Nicholas A. Nystrom	162710
Ernesto López-Mellado	107594
John Keeney	129702
George A. Vouros	36020
Ali Çiltik	61199
Toshio Yanagida	104847
Orion J. Buske	88092
Solange Delagenière	89783
J. F. Weng	16853
N. Chandrachoodan	11794
Dirk Tiede	32402
Vidhya G. Krishnan	87161
Kent A. Reed	27681
Victor Cheng	45243
Luis V��zquez	162062
Chundong She	153787
Zenglin Xu	43959
Anna Pesarin	50180
Yu-Ching Lin	19461
Dong Ming	49536
R. K. Henrywood	7381
Yueju Liu	38125
Judith Liebman	74787
Adam Kohn	65338
Everthon Silva Fonseca	61097
John R. Rosenberger	15543
Andrew Berman	37541
Holger Janßen	60885
Luigi Sellitti	67323
J. Horikawa	67890
Ferdinando Cicalese	117175
Vinod E. F. Rebello	160975
Heather H. Nelson	86562
Hideitsu Hino	68831
Jean-Ming Lee	159459
Cheng-Tsung Hwang	163653
Elaine Kenny	87025
Steven M. Rifai	161352
Renato Alves Borges	20755
Javier Fern��ndez	153829
Hans van den Berg	125181
Yuqiao Hou	110586
Vincent Luboz	24719
James C. Mullikin	90782
Mikhail Y. Kovalyov	121001
Joshua Wall	138925
Isoyama Kazuhiko	139749
Luis Jimenez Linares	21126
Carmen Alina Lupascu	113394
Bernhard Y. Renard	87430
Luca Benetti	89849
Yibin Yang	135702
Abel González Pérez	95018
José Santos-Victor	3502
Oliver Storz	73796
Li-Hsing Shih	27415
Roberto Vezzani	55109
Ernest E. Armstrong	484
Kok Hwee Goh	73446
Michael A. Black	76475
Si Liu	13204
Chin-Lin Peng	78693
Xinda Lu	153729
E. Haupenthal	161423
Lutfiye Durak	21198
Benjamin Schmid	99109
Wah-Fook Chung	29524
I. J. Fair	159115
Maxwell N. Krohn	155077
Akihisa Matsuyama	99421
Ann De Beuckelaer	101607
Martin Biely	153022
Michael Lawrence	51902
Xiaoxing Liu	93310
Xiaofan Zhao	128008
Ren-Shiou Liu	140573
Muyi Cui	45228
Oscar E. Agazzi	44658
Walter J. Freeman	41330
Yuan Gui	100448
Robert D. Nowak	1014
Ratko Orlandic	148837
D. Edmunds	16717
Mark Stewart	65008
Philip Gerlee	51178
Francesca Lanata	27626
J. Ross Quinlan	39615
G. Sunitha Manjari	96310
E. E. Tsolaki	113817
Yue Qi	24836
Peter F. M. Nacken	47021
Andy B. Yoo	153675
V. Khatibi Bardsiri	147537
Abolfazl Sirjani	60311
Patricia Quan	132967
Torsten Möller	24624
J. Lei	157627
Janick Mathys	81627
Peter Morovic	5738
Li-Jin W. Chung	128134
Paul S. Morgan	114792
Panagiotis Alevizos	116149
Bojan Dolsak	27928
Xiangguo Zhao	66250
Rahul Agrawal	61163
Markus Glaß	50703
Claus Hilgetag	63831
V. Umapathi Reddy	20152
James Lu	79946
Petri Liuha	26245
Clemens-August Thole	24691
Anita Das	123344
Albert Murciego	25012
Diane Tang	140563
Somendra Pant	30053
Seon-Hong Kim	8884
Michael A. Calderwood	106934
Jean-Baptiste Veyrieras	94579
Jörg Lehmann	95570
Robert Harper	124246
Hilde Janssens	103433
A. Clare	142185
C. René Leemans	16283
Ken Sin	104785
ZhiFeng Liu	110388
Alex Clop	105092
Liqing Tian	89528
Panagiotis Kappos	26370
Tim Becker	85989
S. Gao	7232
W. J. Parak	1235
R. Paul Gorman	41696
Mehrdad Hajibabaei	97692
Melih Kandemir	49359
Christian Prehofer	128080
Mikhail Katz	17080
Eduardo Luiz Ortiz Batista	22941
T. J. Shi	137395
Richard Steinberg	142048
Jiangping Mei	107775
J. Eduardo Fajardo	82847
Zhengkui Wang	89530
J. Taibo	150965
Jeffrey Markowitz	44392
G. Williams	112272
Chih-Hung Kuo	158252
C. T. Ong	160333
Ben A. Johnson	21465
Huazhong Yang	23216
Kimberly M. Mayer	93383
Shenghua Zhou	21747
F. S. Huang	8283
Hans Vandierendonck	163120
Takashi Saito	84215
Markus Maucher	89658
Kevin P. Smyntek	160485
Adri A. Mills	84608
Tao Han	96319
Anna Bernasconi	117577
Jianchang Qi	8635
Torsten Hothorn	35796
Hiroyuki Takizawa	43472
D. Nikolaidis	138314
Qing Wang	3904
Sandeep Govil	42734
Christopher D. Shaw	23690
Pascual González	24923
Felipe J. Gil-Casti?eira	158171
Konrad S. Famulski	94522
Zuofei Yuan	97747
Volker Hilt	11567
Florian Schintke	138085
Mohamed Moez Yeddes	110965
Hamid Nooralizadeh	21413
G. Cardano	8870
Nong Ye	71569
P. Krishnaraj	138731
Stephen Eyre	88837
Yessine Hadj Kacem	154290
V. Sivess	152358
Liangjiang Wang	77517
Wolfgang Willems	122168
Louis Pouzin	136667
Srimathy Gopalakrishnan	119207
Eric Hsueh-Chan Lu	150183
Robin G. Qiu	52033
Antonis G. Dimitriou	133667
Andreas Kind	126633
Miguel A. Anton	100128
TianNan Fu	25261
Flavia Huygens	94540
Gang Shi	131855
Bow-Nan Cheng	140870
Matthew C. Frank	8926
Xindong Li	109309
A. Acosta	154155
Zhichun Yang	43354
Guoning Qi	27519
Steve Audia	152530
Andrei Osterman	102593
Paula Carvalho	16721
David A. Fay	43148
Thomas P. Weldon	37996
Ralph Neff	25975
Narayanan Ramanathan	3378
Adolfo Muñoz	24504
Michael O'Keefe	115115
Ashok S. Kolaskar	80148
Peter L. Montgomery	156378
L. Kilmartin	15482
Zong-Hua Liu	133264
Dirk Engel	62812
Josef Ammermüller	67334
Michael M. Chang	595
S. Eray Varlik	143407
D. Tsirikos	136336
Francesc Rosselló Llompart	101268
Jan Silovský	16184
Daniele Costanzo	113291
Nesrine Belhaj	132194
Marcos Ortega	49525
Armin Zimmermann	149601
Hua Ouyang	49341
Mykola Pechenizkiy	67097
W. Dai	89812
Masaki Hamamoto	108244
B. Bush	55419
Huw D. Summers	104868
Hua Ji	69614
Joachim Friedrich	77848
Amy L. Lansky	54243
José M. Bande Serrano	139504
Bogumil Kaczkowski	86471
Mariko Okada-Hatakeyama	90151
Reiji Tsuruno	23978
Zhong-Liang Ong	164443
Frédérique Laforest	149945
Farrokh Vatan	40583
Marcello Sanguineti	44288
Henry C. Pitot	96928
Antoine Gautier	121393
Raymond F. Gesteland	78031
L. K. Ho	160496
Robert D. Maddock	157322
Claudio Martini	161075
Oliver A. McBryan	162048
Jing-yu Yang	61306
Jizhao Hua	69563
Anthony Albano	101128
Shao-Yang Wang	153655
Shane Carroll	24073
Joon Ahn	142888
Enric Guaus	58144
Carlos V. Regueiro	56384
Rajesh Munshi	149755
Satoshi Matsuoka	152497
Qun Zhang	110472
Maarit Hirvonen	135865
Martin Blackledge	91134
A. Diyanat	141008
Jose Luis Perez Velazquez	64517
Paul Cheong	19687
Shih-Chun Tu	25091
Holger Karl	73242
Chaitali Sengupta	159729
Erika Reponen	73911
Shih-Pin Chen	110977
Qinghua Zhou	67027
Jean-Marc Boucher	1111
Michael S. H. Heng	30279
Georgi Tsankov	11128
Nicola Orio	21138
Eric Wolsztynski	19466
Biplab Sikdar	11783
Sébastien Rey	77948
Thomas A. Peterson	88562
Naveen Singla	143334
Ting Li	20941
A. Andreetto	126799
U. Lemmin	22726
Adriano Melo	52924
Dae-Soo Kim	99295
S. D. Walker	152356
Yee Leng Yap	93961
Peter Cheeseman	54189
Minping Qian	59785
Jinlin Chen	137815
Po-Chun Chang	151304
Milton Shen	53399
Manuel Duarte Ortigueira	18206
Manolo Gouy	75836
George D. Magoulas	11518
Roberto Natalini	90374
William Staton	123697
Dan S. Tawfik	103850
Kalyani Mali	56263
Kaushik Chakraborty	132922
Giuseppe Coppini	59073
Kai Rothe	162356
Demet Aksoy	128565
Charles R. Johnson	121673
Taposh Banerjee	133591
Daniel S. Myers	92945
Stephen W. Melvin	163874
Gudrun Schleiermacher	90711
Pierre Gan?arski	153757
Milos Radovanovic	35731
Audun Jøsang	52229
Frank Stajano	142802
Wenke Lee	61298
Jason M. Samonds	19612
Javier Díaz	3987
María Guijarro	43896
Raghavendra Rao Loka	148314
Ernesto Jiménez-Ruiz	96548
Ioannis E. Foukarakis	137917
Anil Goteti	133852
Juan C. Burguillo-Rial	148016
Kevin B. Sprague	28380
Jordi Castellà-Roca	129591
Ching-Kuang Shene	8279
Xing Han	78343
Xiaodong Wu	25027
Gero Dittmann	126098
S. Chaudhury	3416
W. Hu	53457
Thomas M. Jovin	1935
Sandra J. Hartman	30078
Anca M. Segall	106999
Lina Mallozzi	57774
Noam Shomron	87473
Paulo Correia	22500
Susanna L. Lamers	79389
Paul Prekop	136676
Eric G. Manning	126705
Paul Tafertshofer	118184
Price Shaun	9497
Naresh Jha	50564
Orit Hazzan	148383
Heng Ngi Yeo	137621
Carlo Curino	72725
Daniel G. Espinoza	119083
Jorge Torres-Solis	73004
Andrew Pennington	45030
Lin-Nan Lee	157178
Philip Machanick	89147
Herbert Schwabl	111133
George Margetis	136936
Yong-Chuen Kang	21024
Angeline S. Andrew	100961
Basilis Boutsinas	48940
Staal A. Vinterbo	82087
Apostolos Malatras	139827
Ulrike A. Nuber	104683
Md. Shamsul Huda	61535
Ewa Swiercz	18587
Matthias Kranz	73819
David Hoffman	2722
Philipp Rümmer	118464
Juan J. Vidal-Puga	123830
Hugh I. Connacher	7507
Roy You	157489
Ching-Feng Liang	133550
Dominique Mouchiroud	78142
Alejandro Heredia-Langner	78484
Bo Zhou	67126
Wan Sing Ng	48730
Sandra Spedaletti	73681
Carlos D. Brody	63100
Seung-Hee Bae	83942
Alberto Del Bimbo	372
Pere Brunet Crosa	10069
Woonsik Lee	133331
John Yannis Goulermas	27432
Abderrahmane Lakas	137949
José Ma Saldaña	130495
Martin O. Jones	100239
W. Daxer	15590
Sangwoo Kang	61598
Francis J. Narcowich	42261
Fang-Mei Tseng	56677
Siwei Lyu	68609
William Hampton-Sosa	30990
A. Iglesias	70792
Andrea Lanzi	61297
Yuntao Jia	27038
Yoshiyuki Kabashima	68751
Andrew Simpson	14751
Mark J. Dunning	83978
A. A. Gorji	23235
Shin-Chih Tu	138328
Theo Gevers	899
J. Mark Bull	155385
Chihsung Yen	45223
Alexander Rurainski	89489
Jagan Agrawal	155877
Bixia Tang	90242
Kunihiko Sadakane	25780
Raymond E. Pippert	120603
Scott A. Waldman	98857
Ulf Brefeld	35521
Konrad Froitzheim	23615
Esa Ollila	20863
Arthur S. Trew	96040
Frank Amiot	162353
Chulhwan Ahn	55905
Jorge Franco	96957
Christian Herde	118304
Inho Park	87940
Chen Na	131577
Germán Enciso	106784
Heejung Byun	141049
Angel Pizarro	78861
Jon W. Mark	11424
Vasant Dhar	54100
Jean-Marc Fellous	43226
Klaus Piwernetz	111793
M. Bystrom	132094
Jyh-Horng Jeng	2934
Joby John	104960
Josephine P. K. Chu	132325
Shi-Qiang Yang	13125
Rens Bod	70879
Ilias Grinias	5487
Martin Widschwendter	89154
S. M. Doney	10066
Gillian Hayes	69335
Sanjeev J. Koppal	34560
Michael A. Penna	37946
Anna Lorenc	87193
V. Shiv Naga Prasad	2402
J. F. Harris	44878
Tein Y. Chung	141207
Yakov M. Shafransky	121760
J?rg Kliewer	157459
Junho Yoon	149566
Kyung-Gun Na	25179
Zhijiat Chong	134582
Alexander Langer	117414
S. Hassanzadeh	161466
William M. Fitzgerald	145297
Peter Burmeister	119838
Mark J. Schreiber	81419
Vítor Manuel Mendes da Silva	3978
W. Robert J. Funnell	112252
Aníbal R. Figueiras-Vidal	19407
Jose G. Moreno-Torres	50213
Michael Würsch	152245
R. Andrew Cameron	92604
Hasan Amca	19248
G. Shen	136896
Geoffrey M. Davis	751
Manju Varma	95589
Beng Chin Ooi	29331
Kaouther Drira	138681
Yavuz Murtezaoglu	9312
Katherine E. Secombe	32287
Lynn K. Carmichael	92820
Mingkuan Liu	137452
Yanpei Chen	155221
Edvard Deticek	111090
Rosario Girardi	71446
Carlisle M. Adams	120460
Sridhar Ranganathan	104727
Ichiro Hasuo	120292
L. Izzo	157766
M. M. Bailey-van Kuren	108698
Adnan Saifee	128167
T. Rickets	8175
Yong-Hyuk Kim	36432
Boris Danev	146044
Hiroyuki Nakahara	42425
Christopher C. Poirier	101666
Amir Hossein Behrooz	54948
Yunjian Wu	141653
Jinzhao Lin	160098
Jong-Hwa Lim	149773
Johan Fredriksson	149780
Geetha Manjunath	29187
Nader Pourmand	98214
Qianming Yang	154759
Chunwei Song	65863
Hussein A. Aly	143443
Vincent Lefort	89726
Yali Liu	25915
Anca Precupanu	57657
Juyong Zhang	6232
Benyong Liu	20720
Hung-Chi Fang	3410
Julie A. Johnson	83496
Helena Santos	94345
Pai-Chun Ma	52365
Kei Hao	130676
Sara Pizzi	139309
J. Venkataraman	157565
Sherif A. Mohamed	160031
Shrinivas J. Pundlik	50698
Eduardo Zalama Casanova	43188
Jing Liu	13203
Panagiota N. Panagopoulou	117127
Ramón P. Ñeco	67807
Baoxian Wang	65630
Marco Diani	347
Anthony F. Norcio	57431
Aditi Sarkar	64127
Barry A. Freedman	116922
Jing Lin	27424
Alessandro Improta	139146
Niccolò Taddei	105017
Anna Król	57603
Jaewoo Seo	25061
Healfdene Goguen	119886
Kevin Y. Sanbonmatsu	94569
Alex G. Nagy	115032
Zhiwei Cao	99577
Johan Van Horebeek	18112
Stefan Schirra	116177
Michel Doisy	18861
M. P. S. F. Gomes	111832
Ralf Schmid	80703
Françoise Gilbert	143994
Fabien Viger	128839
Taegyu Lim	50394
Benjamin Ka-Yin T'sou	58489
Philip Hingston	54319
Keiichi Endo	138177
Guoqiang Shan	25854
Yuji Kyoya	149649
Parveen Patel	142350
Neil W. Townsend	69350
Yiqiang Chen	13145
Nicole Ostländer	32291
Peter Molnar	159109
Che-Jen Hsieh	145585
Thuc Duy Le	101352
Patrick J. Rousche	63153
S. Leng	21433
Elad Donsky	89915
Elias Zintzaras	82689
Peter Vervest	53048
Michael Ristow	106050
Jean-Luc Koning	69998
Lawrence G. Votta	146712
